"CourseID","Part","Crsdate","StuID","ID","LName","FName","MName","Degree","Title","OrgName","Phone","Phone2","Fax","Email","OrgAdd1","OrgAdd2","OrgCity","OrgState","OrgZip","OrgCountry","Sex","Amind","Asian","Black","White","Pacific","Hispanic","OccClas","ProfC","ProfCSp","FunRC","FunRCSp","ProfN","ProfNSp","FunRN","FunRNSp","WorkSt","WorkZip","Orgtype","Tspecify","CBOFund","CBOCDC","CBOOth","CBAFund","CBACDC","CBAOth","FocSTD","FocHIV","FocWRH","FocGen","FocAdol","FocMH","FocSub","FocEm","FocCor","FocOth","FocSpec","PopGen","PopAdol","PopGLB","PopTran","PopHome","PopCorr","PopPreg","PopSW","PopAA","PopAs","PopNH","PopAIAN","PopHisp","PopImm","PopIDU","PopSub","PopHIV","PopOth","PopSpec","Market","Mspecify"
"CI151001A","1","01/03/2011","MECH0106","CI151001A01/03/2011MECH0106","","","","","","","","","","","","","","","","","F","N","N","N","N","N","Y","1","5","","1","","8","","1","","OH","45238","22","","","","","","","","Y"," ","Y"," "," "," "," "," "," "," ","","Y"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","","8",""
"CI199001A","1","01/13/2011","ROSC1010","CI199001A01/13/2011ROSC1010","","","","","","","","","","","","","","","","","M","","","","","","","1","3","","16","","","","1","","IL","62095","17","","","","","","","","Y","Y","N","N","N","N","N","N","N","N","","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","2",""
"CI199001A","1","01/13/2011","NICH1122","CI199001A01/13/2011NICH1122","","","","","","","","","","","","","","","","","F","N","N","N","N","N","Y","1","2","","1","","8","","1","","IL","60612","22","","","","","","","","N","N","Y","N","N","N","N","N","N","N","","N","N","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","Y","Underserved","3",""
"CI199001A","1","01/13/2011","DAHA1120","CI199001A01/13/2011DAHA1120","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","3","","","","1","","OH","44702","17","","","","","","","","Y","Y","N","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","2",""
"CI199001A","1","01/27/2011","LIKE0527","CI199001A01/27/2011LIKE0527","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","1","","","","1","","IL","60098","17","","","","","","","","N","N","Y","N","N","N","N","N","N","Y","Public Health RN","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","underserved","3",""
"CI199001A","1","01/27/2011","KAMO0809","CI199001A01/27/2011KAMO0809","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","5","","","","1","","IL","62870","17","","","","","","","","N","N","Y","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","1",""
"CI199001A","1","01/27/2011","YVPI0328","CI199001A01/27/2011YVPI0328","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","1","","","","1","","IL","61530","17","","","","","","","","N","N","N","N","N","N","N","N","N","Y","women and children","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","5",""
"CI199001A","1","01/27/2011","MAGR1123","CI199001A01/27/2011MAGR1123","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","5","","","","1","","IL","62995","17","","","","","","","","Y","N","Y","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","3",""
"CI199001A","1","01/27/2011","LIJO1009","CI199001A01/27/2011LIJO1009","","","","","","","","","","","","","","","","","F","","","","","","","2","","","","","4","","11","","IL","61061","17","","","","","","","","Y","N","N","N","Y","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","","3",""
"CI199001A","1","01/27/2011","ROKU0730","CI199001A01/27/2011ROKU0730","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","5","","","","1","","IL","60187","27","Health Department","","","","","","","Y","N","Y","N","N","N","N","N","N","N","","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","","3",""
"CI199001A","1","01/27/2011","CHME0809","CI199001A01/27/2011CHME0809","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","6","","","","1","","IL","60622","17","","","","","","","","N","N","Y","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Non or under insured","3",""
"CI199001A","1","01/27/2011","WIAL1120","CI199001A01/27/2011WIAL1120","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","2","","","","1","","IL","62205","22","","","","","","","","Y","Y","N","N","N","N","N","N","N","N","","N","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","","3",""
"CI199001A","1","01/27/2011","MANO0114","CI199001A01/27/2011MANO0114","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","16","","","","1","","IL","61571","22","","","","","","","","Y","N","N","N","N","N","N","N","N","N","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","3",""
"CI199001A","1","01/27/2011","JUSI1213","CI199001A01/27/2011JUSI1213","","","","","","","","","","","","","","","","","F","","","","","","","1","5","","1","","","","1","","IL","61520","17","","","","","","","","Y","N","Y","N","N","N","N","N","N","N","","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","3",""
"CI199001A","1","01/27/2011","CHMA0115","CI199001A01/27/2011CHMA0115","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","4","","","","1","","IL","62992","17","","","","","","","","N","N","Y","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","3",""
"CI199001A","1","01/27/2011","CAAM0614","CI199001A01/27/2011CAAM0614","","","","","","","","","","","","","","","","","F","","","","","","","2","","","","","10","nurse","4","","IL","60302","22","","","","","","","","Y","N","Y","N","N","N","N","N","N","N","","N","N","N","N","Y","N","Y","N","Y","N","N","N","N","N","N","N","N","N","","1",""
"CI199001A","1","01/27/2011","MIAR0808","CI199001A01/27/2011MIAR0808","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","4","","","","1","","IL","62644","27","","","","","","","","N","N","Y","N","N","N","N","N","N","N","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","3",""
"CI199001A","1","01/27/2011","LIKI1221","CI199001A01/27/2011LIKI1221","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","19","","","","1","","IL","62959","17","","","","","","","","Y","N","N","N","Y","N","N","N","N","N","","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","","3",""
"CI199001A","1","01/27/2011","AMED0601","CI199001A01/27/2011AMED0601","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","","","","","1","","IL","61520","17","","","","","","","","Y","N","Y","N","N","N","N","N","N","N","","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","8",""
"CI199001A","1","01/27/2011","PESH1111","CI199001A01/27/2011PESH1111","","","","","","","","","","","","","","","","","F","","","","","","","1","3","","3","","","","1","","IL","61822","27","Local Health Department","","","","","","","Y","Y","N","N","N","N","N","N","N","N","","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","","3",""
